ID,modes,localidad,Sexo,T1_Q15
ID03050090161991,Active Transport,San Cristobal,Hombres,Trabajando
ID03050090181992,Public transport,San Cristobal,Mujeres,No está trabajando
ID03050090211993,Public transport,San Cristobal,Mujeres,Trabajando
ID03050090241994,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03050090371995,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03050110251976,Active Transport,San Cristobal,Hombres,Trabajando
ID03050110331977,Private Transport,San Cristobal,Hombres,Trabajando
ID03050120120928,Public transport,San Cristobal,Mujeres,No está trabajando
ID03050120360931,Public transport,San Cristobal,Mujeres,Trabajando
ID03050130091978,Public transport,San Cristobal,Hombres,Trabajando
ID03050130121979,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050130221980,Public-Private,San Cristobal,Mujeres,Trabajando
ID03050140120920,Private Transport,San Cristobal,Hombres,Trabajando
ID03050140150921,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03050140550926,Public transport,San Cristobal,Hombres,Trabajando
ID03050140840930,Active Transport,San Cristobal,Hombres,Trabajando
ID03050170180924,Public transport,San Cristobal,Mujeres,Trabajando
ID03050170300925,Active Transport,San Cristobal,Hombres,No está trabajando
ID03050170330927,Public transport,San Cristobal,Hombres,Trabajando
ID03050170370934,Private Transport,San Cristobal,Hombres,Trabajando
ID03050170530935,Public transport,San Cristobal,Hombres,Estudiando
ID03050230121990,Public transport,San Cristobal,Mujeres,Trabajando
ID03050450090936,Public transport,San Cristobal,Hombres,Trabajando
ID03050450220937,Public transport,San Cristobal,Mujeres,Trabajando
ID03050450480941,Private Transport,San Cristobal,Hombres,Trabajando
ID03050740091984,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03050740131985,Public-Private,San Cristobal,Mujeres,Otros
ID03050740161986,TransMicable,San Cristobal,Mujeres,Trabajando
ID03050740191988,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03050740221987,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03090070031931,Public transport,San Cristobal,Mujeres,Trabajando
ID03090070061932,Public transport,San Cristobal,Hombres,Trabajando
ID03090070131934,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03090070161935,Public transport,San Cristobal,Hombres,Trabajando
ID03090110031926,Active Transport,San Cristobal,Hombres,Trabajando
ID03090110061927,Public transport,San Cristobal,Mujeres,Trabajando
ID03090110091928,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03090110191929,Private Transport,San Cristobal,Mujeres,Trabajando
ID03090190071951,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03090190121953,Public-Private,San Cristobal,Hombres,Trabajando
ID03090200031954,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03090200061955,Public-Private,San Cristobal,Mujeres,Oficios del hogar
ID03090200121956,Public transport,San Cristobal,Mujeres,Oficios del hogar
