ID,localidad,Sexo,ID_largo,viaje
360,San Cristobal,Mujeres,ID03150120180360,4.697674418604652
552,San Cristobal,Mujeres,ID03150770270552,4.833333333333333
1554,San Cristobal,Hombres,ID03150770721554,5.2
528,San Cristobal,Mujeres,ID03140030240528,3.4444444444444446
543,San Cristobal,Mujeres,ID03150010330543,4.466666666666667
554,San Cristobal,Hombres,ID03150770660554,3.333333333333333
793,San Cristobal,Mujeres,ID03150010180793,2.2857142857142856
791,San Cristobal,Hombres,ID03140510150791,3.0
787,San Cristobal,Mujeres,ID03140240180787,3.8461538461538463
1540,San Cristobal,Mujeres,ID03150070391540,3.0
1546,San Cristobal,Mujeres,ID03150070121546,2.272727272727273
1538,San Cristobal,Mujeres,ID03140370181538,4.695121951219512
1542,San Cristobal,Mujeres,ID03140010301542,4.666666666666667
1549,San Cristobal,Mujeres,ID03150010061549,2.727272727272727
792,San Cristobal,Mujeres,ID03140180450792,3.9
800,San Cristobal,Mujeres,ID03150240030800,1.1538461538461535
323,San Cristobal,Mujeres,ID03170140060323,3.25
1822,San Cristobal,Mujeres,ID03180190091822,5.142857142857143
1852,San Cristobal,Mujeres,ID03190550061852,1.6666666666666667
1868,San Cristobal,Mujeres,ID03190270031868,2.5454545454545454
594,San Cristobal,Mujeres,ID03110320150594,2.230769230769231
595,San Cristobal,Hombres,ID03110340210595,3.526315789473684
1577,San Cristobal,Mujeres,ID03110460061577,3.857142857142857
1591,San Cristobal,Hombres,ID03240830401591,3.4285714285714284
1587,San Cristobal,Mujeres,ID03100320091587,3.8333333333333335
1537,San Cristobal,Hombres,ID03140370331537,2.8461538461538463
295,San Cristobal,Hombres,ID03150210270295,4.0
308,San Cristobal,Hombres,ID03150260330308,3.3
337,San Cristobal,Mujeres,ID03190780270337,3.571428571428572
351,San Cristobal,Mujeres,ID03190380180351,1.1428571428571428
347,San Cristobal,Hombres,ID03190050150347,3.583333333333333
346,San Cristobal,Hombres,ID03190840240346,2.142857142857143
366,San Cristobal,Mujeres,ID03190520210366,4.153846153846154
367,San Cristobal,Mujeres,ID03160510060367,2.6666666666666665
849,San Cristobal,Mujeres,ID03240470300849,3.857142857142857
823,San Cristobal,Mujeres,ID03190260300823,3.583333333333333
1798,San Cristobal,Hombres,ID03150150181798,2.0
1820,San Cristobal,Mujeres,ID03180190031820,3.111111111111111
1810,San Cristobal,Hombres,ID03150140301810,4.727272727272728
1905,San Cristobal,Mujeres,ID03110290331905,5.047619047619048
897,San Cristobal,Mujeres,ID03130060160897,4.098039215686274
1758,San Cristobal,Hombres,ID03160050051758,1.6666666666666667
760,San Cristobal,Mujeres,ID03160620010760,2.857142857142857
1516,San Cristobal,Hombres,ID03420720071516,2.5
508,San Cristobal,Hombres,ID03170150070508,3.375
1502,San Cristobal,Mujeres,ID03310740051502,2.75
789,San Cristobal,Mujeres,ID03150070060789,1.5
1529,San Cristobal,Mujeres,ID03140510121529,2.333333333333333
1504,San Cristobal,Hombres,ID03180190051504,3.142857142857143
753,San Cristobal,Mujeres,ID03180140020753,4.318181818181818
773,San Cristobal,Hombres,ID03170020080773,3.7142857142857135
507,San Cristobal,Hombres,ID03170010090507,5.826086956521739
1767,San Cristobal,Hombres,ID03160630031767,2.625
1757,San Cristobal,Mujeres,ID03170160011757,2.857142857142857
272,San Cristobal,Mujeres,ID03160050080272,4.727272727272728
260,San Cristobal,Hombres,ID03160060050260,4.0
281,San Cristobal,Mujeres,ID03150300180281,2.1666666666666665
264,San Cristobal,Hombres,ID03420640030264,3.8
270,San Cristobal,Hombres,ID03160060020270,3.4444444444444446
200,Ciudad Bolivar,Hombres,ID15210400150200,4.076923076923077
1147,Ciudad Bolivar,Mujeres,ID15150150241147,1.75
1048,Ciudad Bolivar,Hombres,ID15700300181048,3.0416666666666665
1055,Ciudad Bolivar,Mujeres,ID15700300211055,2.0
2065,Ciudad Bolivar,Mujeres,ID15390080032065,2.559633027522936
2038,Ciudad Bolivar,Mujeres,ID15700620062038,3.1666666666666665
1305,Ciudad Bolivar,Hombres,ID15800150361305,4.0
84,Ciudad Bolivar,Hombres,ID15490270060084,5.0
153,Ciudad Bolivar,Mujeres,ID15390600090153,2.8035714285714284
145,Ciudad Bolivar,Mujeres,ID15600520300145,2.466666666666667
133,Ciudad Bolivar,Mujeres,ID15600540090133,2.4
137,Ciudad Bolivar,Hombres,ID15600540570137,3.25
120,Ciudad Bolivar,Hombres,ID15390110210120,4.4
99,Ciudad Bolivar,Hombres,ID15490660240099,3.555555555555556
2100,Ciudad Bolivar,Mujeres,ID15530670242100,3.909090909090909
2062,Ciudad Bolivar,Hombres,ID15490650092062,4.0
2079,Ciudad Bolivar,Mujeres,ID15390780452079,2.571428571428572
1492,Ciudad Bolivar,Mujeres,ID15520930241492,2.833333333333333
1398,Ciudad Bolivar,Mujeres,ID15530130151398,3.2
1403,Ciudad Bolivar,Mujeres,ID15530170451403,3.0
1367,Ciudad Bolivar,Hombres,ID15580380271367,4.333333333333333
1365,Ciudad Bolivar,Mujeres,ID15600500481365,4.0
1322,Ciudad Bolivar,Mujeres,ID15490430361322,3.695652173913044
2293,Ciudad Bolivar,Mujeres,ID15650260272293,3.939393939393939
2290,Ciudad Bolivar,Mujeres,ID15650260032290,4.666666666666667
2129,Ciudad Bolivar,Hombres,ID15150540182129,4.411764705882353
1359,Ciudad Bolivar,Mujeres,ID15600500421359,2.75
2346,Ciudad Bolivar,Mujeres,ID15460730092346,1.625
2338,Ciudad Bolivar,Hombres,ID15460980182338,5.6
2376,Ciudad Bolivar,Hombres,ID15400670392376,2.3076923076923075
2364,Ciudad Bolivar,Hombres,ID15400160482364,2.5
2357,Ciudad Bolivar,Hombres,ID15400160122357,4.363636363636363
2348,Ciudad Bolivar,Hombres,ID15600620482348,3.0
1439,Ciudad Bolivar,Hombres,ID15040370091439,5.2727272727272725
2391,Ciudad Bolivar,Mujeres,ID15530060422391,3.2857142857142856
2400,Ciudad Bolivar,Hombres,ID15530250032400,4.761904761904762
2464,Ciudad Bolivar,Hombres,ID15240131022464,2.7777777777777777
1162,Ciudad Bolivar,Mujeres,ID15600630121162,3.5
2033,Ciudad Bolivar,Hombres,ID15800160152033,3.872340425531915
2020,Ciudad Bolivar,Mujeres,ID15870700032020,2.0
2019,Ciudad Bolivar,Hombres,ID15700620062019,7.666666666666667
1259,Ciudad Bolivar,Mujeres,ID15650580081259,5.157894736842105
1262,Ciudad Bolivar,Hombres,ID15650810061262,6.875
1264,Ciudad Bolivar,Mujeres,ID15700740091264,3.25
8,Ciudad Bolivar,Mujeres,ID15650760060008,3.25
2274,Ciudad Bolivar,Mujeres,ID15800350052274,4.0
1269,Ciudad Bolivar,Mujeres,ID15700740071269,5.571428571428571
